match_id,date,season,matchday,home_team,away_team,home_goals,away_goals,venue,status
cpl::Football_Match::daefca6e3d3d4ff09f1f9333c2634a62,2025-08-17,2025,Matchday 19,Valour,Inter Toronto,0,0,Princess Auto Stadium,FINISHED
cpl::Football_Match::5574471150b54420826b5b103754a574,2025-08-17,2025,Matchday 19,Forge,Atlético Ottawa,2,0,Hamilton Stadium,FINISHED
cpl::Football_Match::29c57c79d21243ff9df8b86a0235d69e,2025-08-17,2025,Matchday 19,Cavalry,Vancouver FC,5,4,ATCO Field,FINISHED
cpl::Football_Match::262e168085ce4f1aa38c50a2082100e3,2025-08-22,2025,Matchday 20,HFX Wanderers,Valour,4,1,Wanderers Grounds,FINISHED
cpl::Football_Match::71e2b3afea1f40f39f94b0bfd6651d8b,2025-08-23,2025,Matchday 20,Vancouver FC,Forge,0,1,Willoughby Community Park at the Langley Events Centre,FINISHED
cpl::Football_Match::848eb239a14d4cf1ad111b1e80ed05ba,2025-08-23,2025,Matchday 20,Atlético Ottawa,Cavalry,2,2,TD Place Stadium,FINISHED
cpl::Football_Match::194d8de719af453a8d82418bf4710247,2025-08-24,2025,Matchday 20,Inter Toronto,Pacific,5,1,York Lions Stadium,FINISHED
cpl::Football_Match::a80193b3cc184ecb86c22f74ce0a3e5e,2025-08-30,2025,Matchday 21,Cavalry,Forge,4,1,ATCO Field,FINISHED
cpl::Football_Match::fec7e1516aef4a37a041bb78c621568a,2025-08-30,2025,Matchday 21,Atlético Ottawa,Vancouver FC,3,1,TD Place Stadium,FINISHED
cpl::Football_Match::fa45b0e945bc47ce8bcffa3250fa3fba,2025-08-31,2025,Matchday 21,Valour,Pacific,1,1,Princess Auto Stadium,FINISHED
cpl::Football_Match::10e38d791cc44d7f8b5c68b638213ed2,2025-09-01,2025,Matchday 21,HFX Wanderers,Inter Toronto,4,0,Wanderers Grounds,FINISHED
cpl::Football_Match::e70a8bd3bb5840b7bf1e46b0b149b481,2025-09-05,2025,Matchday 22,Inter Toronto,Cavalry,3,1,York Lions Stadium,FINISHED
cpl::Football_Match::91d8f67b002e4b12b4c9542b860290d5,2025-09-06,2025,Matchday 22,Forge,HFX Wanderers,1,0,Hamilton Stadium,FINISHED
cpl::Football_Match::9d081120cd4f4a23ac07cd56ad40c389,2025-09-06,2025,Matchday 22,Atlético Ottawa,Pacific,2,0,TD Place Stadium,FINISHED
cpl::Football_Match::1afc287d65604dc69c10d4f36f0bbca5,2025-09-06,2025,Matchday 22,Vancouver FC,Valour,2,5,Willoughby Community Park at the Langley Events Centre,FINISHED
cpl::Football_Match::1f81095c58ef4a02908ecc1daede0634,2025-09-12,2025,Matchday 23,Valour,Forge,2,1,Princess Auto Stadium,FINISHED
cpl::Football_Match::cb2ba629494046199592153bd4e72f2d,2025-09-13,2025,Matchday 23,Cavalry,HFX Wanderers,3,1,ATCO Field,FINISHED
cpl::Football_Match::3d441d7a69574f2abf05407bd169f611,2025-09-13,2025,Matchday 23,Pacific,Vancouver FC,1,1,Royal Athletic Park,FINISHED
cpl::Football_Match::12d4cd90537e4f6d8b00341a93378f0b,2025-09-14,2025,Matchday 23,Inter Toronto,Atlético Ottawa,2,2,York Lions Stadium,FINISHED
cpl::Football_Match::12c1a73b52f94a4b91a1cad6b17f6f4e,2025-09-20,2025,Matchday 24,HFX Wanderers,Pacific,3,0,Wanderers Grounds,FINISHED
cpl::Football_Match::b0d7790aebdc499e9e7957910e3cf7d1,2025-09-20,2025,Matchday 24,Cavalry,Valour,3,0,ATCO Field,FINISHED
cpl::Football_Match::f8f5b07ada7148ceadc2ad7f56d55b90,2025-09-21,2025,Matchday 24,Atlético Ottawa,Forge,1,1,TD Place Stadium,FINISHED
cpl::Football_Match::e6dd9e2080674c4f819eaaa84f9f23d2,2025-09-21,2025,Matchday 24,Vancouver FC,Inter Toronto,2,1,Willoughby Community Park at the Langley Events Centre,FINISHED
cpl::Football_Match::dfb6d623c65a4673bf0ed9df892497ad,2025-09-27,2025,Matchday 25,Atlético Ottawa,Cavalry,3,0,TD Place Stadium,FINISHED
cpl::Football_Match::8e4680079fc5404292b8f8cf501a8f3c,2025-09-27,2025,Matchday 25,Forge,Pacific,4,0,Hamilton Stadium,FINISHED
cpl::Football_Match::85519038561c4e3aa09c0dece4cac4c8,2025-09-28,2025,Matchday 25,Inter Toronto,Valour,1,0,York Lions Stadium,FINISHED
cpl::Football_Match::404b8751f4e144958d110050552c9c7e,2025-09-28,2025,Matchday 25,Vancouver FC,HFX Wanderers,3,1,Willoughby Community Park at the Langley Events Centre,FINISHED
cpl::Football_Match::7a32418f767742fc80e0b11a54cef777,2025-10-04,2025,Matchday 26,Forge,Vancouver FC,1,1,Hamilton Stadium,FINISHED
cpl::Football_Match::505757a87aa34b7c97c619bbe3b3dad0,2025-10-04,2025,Matchday 26,HFX Wanderers,Inter Toronto,1,1,Wanderers Grounds,FINISHED
cpl::Football_Match::1105b118d2b14db28c7886400f1e76fb,2025-10-05,2025,Matchday 26,Valour,Atlético Ottawa,3,3,Princess Auto Stadium,FINISHED
cpl::Football_Match::2e35fd415fda49bba68d7fb52c5f2e2c,2025-10-05,2025,Matchday 26,Pacific,Cavalry,3,3,Starlight Stadium,FINISHED
cpl::Football_Match::a6699c792cbc42eea970227db11ef106,2025-10-09,2025,Matchday 27,Inter Toronto,Pacific,2,2,York Lions Stadium,FINISHED
cpl::Football_Match::bed26ccb763748fda4c206faf60eda9e,2025-10-11,2025,Matchday 27,Cavalry,Forge,1,1,ATCO Field,FINISHED
cpl::Football_Match::f6d444edc7464e93919cd1a4dd2bd90e,2025-10-11,2025,Matchday 27,Valour,HFX Wanderers,0,3,Princess Auto Stadium,FINISHED
cpl::Football_Match::43e957157583478598e49c0e37a3f1cf,2025-10-12,2025,Matchday 27,Atlético Ottawa,Vancouver FC,0,0,TD Place Stadium,FINISHED
cpl::Football_Match::3ffefbe5f5c244e7844842be0c2be2b2,2025-10-18,2025,Matchday 28,Pacific,Valour,1,4,Starlight Stadium,FINISHED
cpl::Football_Match::3d69bc7d373544d6bb2d83e084a0f588,2025-10-18,2025,Matchday 28,Vancouver FC,Cavalry,2,2,Willoughby Community Park at the Langley Events Centre,FINISHED
cpl::Football_Match::d37b13c8fd42492c9053b7132fb2abed,2025-10-18,2025,Matchday 28,Forge,Inter Toronto,3,0,Hamilton Stadium,FINISHED
cpl::Football_Match::3a4731f0bf9541c3854c1b1940db1fd4,2025-10-18,2025,Matchday 28,HFX Wanderers,Atlético Ottawa,0,1,Wanderers Grounds,FINISHED
cpl::Football_Match::1dc37a9308774e8b9516a6530e641a9e,2025-10-22,2025,,HFX Wanderers,Inter Toronto,2,2,Wanderers Grounds,FINISHED
cpl::Football_Match::de9b14df89b84c4e87701189667e49f3,2025-10-26,2025,,Forge,Atlético Ottawa,1,2,Hamilton Stadium,FINISHED
cpl::Football_Match::a925495a372d4fe287a9da382a479506,2025-10-26,2025,,Cavalry,Inter Toronto,4,1,ATCO Field,FINISHED
cpl::Football_Match::d8f79801f93a47bc98214e971f3c684e,2025-11-02,2025,,Forge,Cavalry,0,1,Hamilton Stadium,FINISHED
cpl::Football_Match::c52f4791009a4c29b5ec46c3ef7b6dfd,2025-11-09,2025,,Atlético Ottawa,Cavalry,2,1,TD Place Stadium,FINISHED
